Date high/low,Level high/low,Supp/Resist,Long Action,Long Date detected,Level Close,Long Trade Day,Level trade
2024-07-22,122.5,resistance,,2024-07-23,121.25,2024-07-23 15:50:00,
2024-08-12,81.29,support,buy,2024-08-13,82.9,2024-08-13 15:50:00,
2024-08-19,89.96,resistance,sell,2024-08-20,86.94,2024-08-20 15:50:00,
2024-09-11,79.51,resistance,,2024-09-12,69.68,2024-09-12 15:50:00,
2024-09-30,66.83,resistance,,2024-10-01,63.93,2024-10-01 15:50:00,
2024-10-24,52.8,support,buy,2024-10-25,53.09,2024-10-25 15:50:00,
2024-10-29,55.22,resistance,sell,2024-10-30,54.72,2024-10-30 15:50:00,
2024-11-15,36.85,support,buy,2024-11-18,39.51,2024-11-18 15:50:00,
2024-12-09,45.65,resistance,sell,2024-12-10,41.51,2024-12-10 15:50:00,
2024-12-18,38.36,support,buy,2024-12-19,39.56,2024-12-19 15:50:00,
2024-12-30,39.38,support,,2024-12-31,41.58,2024-12-31 15:50:00,
2025-01-07,47.53,resistance,sell,2025-01-08,43.17,2025-01-08 15:50:00,
2025-01-16,33.76,support,buy,2025-01-17,34.06,2025-01-17 15:50:00,
2025-01-28,44.94,resistance,sell,2025-01-29,40.72,2025-01-29 15:50:00,
2025-02-12,30.54,support,buy,2025-02-13,31.92,2025-02-13 15:50:00,
2025-02-19,35.9,resistance,sell,2025-02-20,33.73,2025-02-20 15:50:00,
2025-03-03,30.27,support,buy,2025-03-04,30.37,2025-03-04 15:50:00,
2025-03-10,35.96,resistance,sell,2025-03-11,33.76,2025-03-11 15:50:00,
2025-04-10,24.5,support,buy,2025-04-11,26.2,2025-04-11 15:50:00,
2025-04-14,26.8,resistance,sell,2025-04-15,26.24,2025-04-15 15:50:00,
2025-04-30,28.54,resistance,,2025-05-01,27.03,2025-05-01 15:50:00,
2025-05-15,23.65,support,buy,2025-05-16,24.86,2025-05-16 15:50:00,
2025-05-20,27.99,resistance,sell,2025-05-21,25.8,2025-05-21 15:50:00,
2025-06-09,28.14,resistance,,2025-06-10,27.68,2025-06-10 15:50:00,
2025-06-18,25.4,support,buy,2025-06-20,25.9,2025-06-20 15:50:00,
2025-07-10,34.28,resistance,sell,2025-07-11,33.64,2025-07-11 15:50:00,
2025-07-18,31.26,support,buy,2025-07-21,31.47,2025-07-21 15:50:00,
